title_sv,title_en,short,starts_at,ends_at,dot,all_day,location_sv,location_en,drink,food,cash,description_sv,description_en
UppvärmnING,UppvärmnING,,2017-08-30 18:30:00,2017-08-30 20:30:00,,false,Mellan Ikdc och KC,Mellan Ikdc och KC,false,true,false,UppvärmninING. Foodmarket! Känner du dig sliten efter att ha badat i sjön Sjön? Ät gott och häng med dina vänner.,Description missing
INGvasion,INGvasion,,2017-08-30 22:00:00,2017-08-31 02:00:00,,false,"Gasquesalen, Kårhuset","Gasquesalen, Kårhuset",true,false,true,INGvasion. Helsingborgsingenjörerna intar Lund och ställer till med episk fest. Klädkod: Overall,Description missing
Sveriges ingenjörer,Sveriges ingenjörer,,2017-08-31 12:00:00,2017-08-31 13:00:00,,false,Kårhuset,Kårhuset,false,true,false,"Sveriges Ingenjörer, pratar om sin verksamhet och bjuder på lunch.",Description missing
Pluggföstid,Study time,,2017-08-31 17:00:00,2017-08-31 19:00:00,single,false,MH,MH,false,false,false,"Pluggföstid. Nu när studierna kommit igång finns pluggfösen här för att hjälpa dig. Frukta inte, de är här för att svara på alla dina frågor om dina första kurser.",Description missing
Lunchcase med LINC,Lunchcase med LINC,,2017-09-01 12:00:00,2017-09-01 13:00:00,,false,MH,MH,false,false,false,Lunchcase med FNU och LINC. Kom och prova på problemlösning med F-sektionens näringslivsutskott och Lund University Finance Society.,Description missing
LKG,LKG,,2017-09-01 18:00:00,2017-09-01 22:00:00,double,false,Gasquesalen,Gasquesalen,false,false,false,LKG - Lära Känna Gasque! En fantastisk finsittning där du lär känna ännu fler studiekamrater. Klädkod: Kavaj.,Description missing
Brunch med Reiseleiteriet,Brunch with Reiseleiteriet,,2017-09-02 11:00:00,2017-09-02 12:30:00,,false,Mattehuset,Mattehuset,false,true,false,Brunch. Reiseleiteriet bjuder in till en mysig brunch. Kom och ladda upp inför flyING.,Description missing
FlyING,FlyING,,2017-09-02 13:00:00,2017-09-03 02:00:00,double,true,Helsingborg. Bussen avgår från Kårhuset,Helsingborg. Bussen avgår från Kårhuset,false,true,true,"FlyING, är en tävling mellan sektionerna i vem som flyger längst i sin hemmabyggda farkost. Målet är att ta sig ända till Danmark, vilket vi alla kommer klara. Viktigt att vara i tid. Fick du ingen bussbiljett, misströsta ej, att åka tåg är minst lika kul. Klädkod: Overall",Description missing
Faddergruppshäng,Hang out with your mentorgroup,,2017-09-03 06:00:00,2017-09-03 22:00:00,,true,Hos din fadder,Hos din fadder,false,false,false,Faddergruppshäng. Myspys med din underbara faddergrupp. Kanske kan du passa,Description missing
Lunch-beat,Lunch-beat,,2017-09-04 12:00:00,2017-09-04 13:00:00,,false,Gasquesalen,Gasquesalen,false,true,false,Lunchbeat - Dansa och ät lunch med studenter från andra sektioner under en festlig lunchtimme. Mat kommer att finnas till försäljning.,Description missing
Sångboksgenomsjungning,Song book sittning,,2017-09-04 19:00:00,2017-09-04 23:00:00,,false,MH,MH,false,true,true,Sångboksgenomsjungning. Har du undrat hur man egentligen sjunger Härjarevisan? Sångförmännen fixar en hejdundrande sittning och går igenom både mer och mindre kända sånger. Klädkod: Overall,Description missing
